# ZDC LUT for HI running 2023, first pass implementation
# Scaling factor of 10000 used for double -> int conversion
#<header> V1 13 32 </header>

0 10000 # Scaling Factor
1 1659 # [index ibit=0], [index idet=0]
2 4979 # [index ibit=1], [index idet=0]
3 8299 # [index ibit=2], [index idet=0]
4 11619 # [index ibit=3], [index idet=0]
5 14939 # [index ibit=4], [index idet=0]
6 18258 # [index ibit=5], [index idet=0]
7 21578 # [index ibit=6], [index idet=0]
8 24898 # [index ibit=7], [index idet=0]
9 28218 # [index ibit=8], [index idet=0]
10 31538 # [index ibit=9], [index idet=0]
11 34857 # [index ibit=10], [index idet=0]
12 38177 # [index ibit=11], [index idet=0]
13 41497 # [index ibit=12], [index idet=0]
14 44817 # [index ibit=13], [index idet=0]
15 48137 # [index ibit=14], [index idet=0]
16 51456 # [index ibit=15], [index idet=0]
17 56436 # [index ibit=16], [index idet=0]
18 63076 # [index ibit=17], [index idet=0]
19 69715 # [index ibit=18], [index idet=0]
20 76355 # [index ibit=19], [index idet=0]
21 82995 # [index ibit=20], [index idet=0]
22 89634 # [index ibit=21], [index idet=0]
23 96274 # [index ibit=22], [index idet=0]
24 102913 # [index ibit=23], [index idet=0]
25 109553 # [index ibit=24], [index idet=0]
26 116193 # [index ibit=25], [index idet=0]
27 122832 # [index ibit=26], [index idet=0]
28 129471 # [index ibit=27], [index idet=0]
29 136112 # [index ibit=28], [index idet=0]
30 142751 # [index ibit=29], [index idet=0]
31 149390 # [index ibit=30], [index idet=0]
32 156031 # [index ibit=31], [index idet=0]
33 162670 # [index ibit=32], [index idet=0]
34 169309 # [index ibit=33], [index idet=0]
35 175949 # [index ibit=34], [index idet=0]
36 182589 # [index ibit=35], [index idet=0]
37 192548 # [index ibit=36], [index idet=0]
38 205828 # [index ibit=37], [index idet=0]
39 219106 # [index ibit=38], [index idet=0]
40 232386 # [index ibit=39], [index idet=0]
41 245665 # [index ibit=40], [index idet=0]
42 258944 # [index ibit=41], [index idet=0]
43 272223 # [index ibit=42], [index idet=0]
44 285503 # [index ibit=43], [index idet=0]
45 298781 # [index ibit=44], [index idet=0]
46 312061 # [index ibit=45], [index idet=0]
47 325341 # [index ibit=46], [index idet=0]
48 338619 # [index ibit=47], [index idet=0]
49 351899 # [index ibit=48], [index idet=0]
50 365178 # [index ibit=49], [index idet=0]
51 378457 # [index ibit=50], [index idet=0]
52 391736 # [index ibit=51], [index idet=0]
53 405016 # [index ibit=52], [index idet=0]
54 418294 # [index ibit=53], [index idet=0]
